"id","TYPE","gender","NAME","description","icon_id","part","is_up_to_up","power_require"
"311","7","0","Quả cầu Kênh Khi lv5","nâng Quả Cầu Kênh Khi lên cấp 5","717","-1","0","10000000"
"312","7","0","Quả cầu Kênh Khi lv6","nâng Quả Cầu Kênh Khi lên cấp 6","717","-1","0","10000000"
"313","7","0","Quả cầu Kênh Khi lv7","nâng Quả Cầu Kênh Khi lên cấp 7","717","-1","0","10000000"
"314","7","2","Hóa khỉ khổng lồ lv1","học kỹ năng hóa thành khỉ khổng lồ","718","-1","0","10000000"
"315","7","2","Hóa khỉ khổng lồ lv2","nâng hóa khỉ khổng lồ lên cấp 2","718","-1","0","10000000"
"316","7","2","Hóa khỉ khổng lồ lv3","nâng hóa khỉ khổng lồ lên cấp 3","718","-1","0","10000000"
"317","7","2","Hóa khỉ khổng lồ lv4","nâng hóa khỉ khổng lồ lên cấp 4","718","-1","0","10000000"
"318","7","2","Hóa khỉ khổng lồ lv5","nâng hóa khỉ khổng lồ lên cấp 5","718","-1","0","10000000"
"319","7","2","Hóa khỉ khổng lồ lv6","nâng hóa khỉ khổng lồ lên cấp 6","718","-1","0","10000000"
"320","7","2","Hóa khỉ khổng lồ lv7","nâng hóa khỉ khổng lồ lên cấp 7","718","-1","0","10000000"
"321","7","2","bom hi sinh lv1","học kỹ năng bom hi sinh","2248","-1","0","10000000"
"322","7","2","Bom hi sinh lv2","nâng bom hi sinh lên cấp 2","2248","-1","0","10000000"
"323","7","2","Bom hi sinh lv3","nâng bom hi sinh lên cấp 3","2248","-1","0","10000000"
"324","7","2","Bom hi sinh lv4","nâng bom hi sinh lên cấp 4","2248","-1","0","10000000"
"325","7","2","Bom hi sinh lv5","nâng bom hi sinh lên cấp 5","2248","-1","0","10000000"
"326","7","2","Bom hi sinh lv6","nâng bom hi sinh lên cấp 6","2248","-1","0","10000000"
"327","7","2","Bom hi sinh lv7","nâng bom hi sinh lên cấp 7","2248","-1","0","10000000"
"328","7","1","Makankosappo lv1","học kỹ năng Makankosappo","723","-1","0","10000000"
"329","7","1","Makankosappo lv2","nâng Makankosappo lên cấp 2","723","-1","0","10000000"
"330","7","1","Makankosappo lv3","nâng Makankosappo lên cấp 3","723","-1","0","10000000"
"331","7","1","Makankosappo lv4","nâng Makankosappo lên cấp 4","723","-1","0","10000000"
"332","7","1","Makankosappo lv5","nâng Makankosappo lên cấp 5","723","-1","0","10000000"
"333","7","1","Makankosappo lv6","nâng Makankosappo lên cấp 6","723","-1","0","10000000"
"334","7","1","Makankosappo lv7","nâng Makankosappo lên cấp 7","723","-1","0","10000000"
"335","7","1","Đẻ trứng lv1","học kỹ năng đẻ trứng","722","-1","0","10000000"
"336","7","1","Đẻ trứng lv2","nâng đẻ trứng lên cấp 2","722","-1","0","10000000"
"337","7","1","Đẻ trứng lv3","nâng đẻ trứng lên cấp 3","722","-1","0","10000000"
"338","7","1","Đẻ trứng lv4","nâng đẻ trứng lên cấp 4","722","-1","0","10000000"
"339","7","1","Đẻ trứng lv5","nâng đẻ trứng lên cấp 5","722","-1","0","10000000"
"340","7","1","Đẻ trứng lv6","nâng đẻ trứng lên cấp 6","722","-1","0","10000000"
"341","7","1","Đẻ trứng lv7","nâng đẻ trứng lên cấp 7","722","-1","0","10000000"
"342","22","3","Vệ tinh trí lực","Hỗ trợ chiến đấu cho cá nhân và bang hội trong 30 phút trong phạm vi quỹ đạo của Vệ Tinh","2265","-1","1","0"
"343","22","3","Vệ tinh trí tuệ","Hỗ trợ chiến đấu cho cá nhân và bang hội trong 30 phút trong phạm vi quỹ đạo của Vệ Tinh","2266","-1","1","0"
"344","22","3","Vệ tinh phòng thủ","Hỗ trợ chiến đấu cho cá nhân và bang hội trong 30 phút trong phạm vi quỹ đạo của Vệ Tinh","2267","-1","1","0"
"345","22","3","Vệ tinh sinh lực","Hỗ trợ chiến đấu cho cá nhân và bang hội trong 30 phút trong phạm vi quỹ đạo của Vệ Tinh","2264","-1","1","0"
"346","23","0","Cân đẩu vân","Bay không tốn KI","2273","-1","0","0"
"347","23","1","Phi Long","Bay không tốn KI","2277","-1","0","0"
"348","23","2","Ván bay","Bay không tốn KI","2275","-1","0","0"
"349","24","0","Cân đẩu vân VIP","Bay phục hồi KI","2274","-1","0","0"
"350","24","1","Phi Long VIP","Bay phục hồi KI","2278","-1","0","0"
"351","24","2","Ván bay VIP","Bay phục hồi KI","2276","-1","0","0"
"352","6","3","Đậu thần cấp 8","Thức ăn phục hồi HP và KI","241","-1","0","1"
"353","11","3","Ngọc Rồng Namek 1 Sao","Tập họp đủ 7 viên để ước","2280","-1","0","0"
"354","11","3","Ngọc Rồng Namek 2 Sao","Tập họp đủ 7 viên để ước","2281","-1","0","0"
"355","11","3","Ngọc Rồng Namek 3 Sao","Tập họp đủ 7 viên để ước","2282","-1","0","0"
"356","11","3","Ngọc Rồng Namek 4 Sao","Tập họp đủ 7 viên để ước","2283","-1","0","0"
"357","11","3","Ngọc Rồng Namek 5 Sao","Tập họp đủ 7 viên để ước","2284","-1","0","0"
"358","11","3","Ngọc Rồng Namek 6 Sao","Tập họp đủ 7 viên để ước","2285","-1","0","0"
"359","11","3","Ngọc Rồng Namek 7 Sao","Tập họp đủ 7 viên để ước","2286","-1","0","0"
"360","11","3","Ngọc Rồng Namek","Tập họp đủ 7 viên để ước","2287","-1","0","0"
"361","25","3","Gói 10 Rađa dò ngọc","Máy dò ngọc rồng Namếc","2295","-1","0","0"
"362","11","3","Hóa thạch Ngọc Rồng","Hóa thạch Ngọc Rồng","2288","-1","0","0"
"363","28","3","Tháo cờ","Tắt PK đồ sát","2761","-1","0","0"
"364","28","3","Cờ xanh","Bật PK đồ sát các màu cờ khác","2330","-1","0","0"
"365","28","3","Cờ đỏ","Bật để PK đồ sát các màu cờ khác","2323","-1","0","0"
"366","28","3","Cờ tím","Bật để PK đồ sát các màu cờ khác","2327","-1","0","0"
"367","28","3","Cờ vàng","Bật để PK đồ sát các màu cờ khác","2326","-1","0","0"
"368","28","3","Cờ lục","Bật để PK đồ sát các màu cờ khác","2324","-1","0","0"
"369","28","3","Cờ hồng","Bật để PK đồ sát các màu cờ khác","2329","-1","0","0"
"370","28","3","Cờ cam","Bật để PK đồ sát các màu cờ khác","2328","-1","0","0"
"371","28","3","Cờ xám","Bật để PK đồ sát tất cả","2331","-1","0","0"
"372","11","3","Ngọc rồng 1 sao đen","+15% sức đánh cho toàn bang","2315","-1","0","0"
"373","11","3","Ngọc rồng 2 sao đen","+20% HP và KI tối đa cho toàn bang","2316","-1","0","0"
"374","11","3","Ngọc rồng 3 sao đen","Mỗi giờ 10 hạt đậu thần cấp 8 cho toàn bang","2317","-1","0","0"
"375","11","3","Ngọc rồng 4 sao đen","Mỗi giờ 1 bùa 1h ngẫu nhiên cho toàn bang","2318","-1","0","0"
"376","11","3","Ngọc rồng 5 sao đen","Mỗi giờ 3 ngọc nâng cấp ngẫu nhiên cho toàn bang","2319","-1","0","0"
"377","11","3","Ngọc rồng 6 sao đen","Mỗi giờ 200.000 vàng cho toàn bang","2320","-1","0","0"
"378","11","3","Ngọc rồng 7 sao đen","Mỗi giờ 10 thỏi vàng cho toàn bang","2321","-1","0","0"
"379","29","3","Máy dò Capsule kì bí","Dùng để tìm kiếm Capsule kì bí ở tương lai","2758","-1","0","0"
"380","27","3","Viên Capsule kì bí","Bên trong ẩn chứa nhiều thứ bí ẩn","2759","-1","0","0"
"381","29","3","Cuồng nộ","Trong vòng tối đa 10 phút +100% sức đánh gốc","2754","-1","0","0"
"382","29","3","Bổ huyết","Trong vòng tối đa 10 phút +100% HP","2755","-1","0","0"
"383","29","3","Bổ khí","Trong vòng tối đa 10 phút +100% KI","2756","-1","0","0"
"384","29","3","Giáp Xên bọ hung","Trong vòng tối đa 10 phút giảm 50% sát thương ","2757","-1","0","0"
"385","29","3","Ẩn danh","Khi bạn cần sự riêng tư +10 phút (tối đa 30 phút) hạ địch không để lại tên trong danh sách kẻ thù và không cho phép người khác dịch chuyển tức thời đến","2760","-1","0","0"
"386","5","0","Nón Noel Xám","YTB KhanhDTK, biến mất khi sự kiện kết thúc","2782","277","0","0"
"387","5","0","Nón Noel Đỏ","YTB KhanhDTK, biến mất khi sự kiện kết thúc","2783","276","0","0"
"388","5","0","Nón Noel Xanh","YTB KhanhDTK, biến mất khi sự kiện kết thúc","2781","278","0","0"
"389","5","1","Nón Noel Xám","YTB KhanhDTK, biến mất khi sự kiện kết thúc","2785","274","0","0"
"390","5","1","Nón Noel Đỏ","YTB KhanhDTK, biến mất khi sự kiện kết thúc","2786","273","0","0"
"391","5","1","Nón Noel Xanh","YTB KhanhDTK, biến mất khi sự kiện kết thúc","2766","275","0","0"
"392","5","2","Nón Noel Xám","YTB KhanhDTK, biến mất khi sự kiện kết thúc","2788","280","0","0"
"393","5","2","Nón Noel Đỏ","YTB KhanhDTK, biến mất khi sự kiện kết thúc","2780","279","0","0"
"394","5","2","Nón Noel Xanh","YTB KhanhDTK, biến mất khi sự kiện kết thúc","2787","281","0","0"
"395","27","3","Nhân vật bí ẩn","YTB KhanhDTK, hết hạn vào ngày 28/2 (tự động xóa)","2760","-1","0","0"
"396","24","3","Thú cưỡi cực VIP","Dùng để bay phục hồi HP, KI","10665","-1","0","0"
"397","27","3","Hộp quà tết","YTB KhanhDTK, hết hạn vào ngày 28/2 (tự động xóa)","2987","-1","0","0"
"398","27","3","Hộp quà tết","YTB KhanhDTK, hết hạn vào ngày 28/2 (tự động xóa)","2987","-1","0","0"
"399","27","3","Thiệp chúc tết","YTB KhanhDTK","2988","-1","0","0"
"400","27","3","Đặt tên đệ tử","Khi có vật phẩm này trong hành trang, chat: 'ten con la abc' để đặt tên 'abc' cho đệ tử","2989","-1","0","0"
"401","27","3","Đổi đệ tử","Đổi đệ tử khác hoàn toàn mới","737","-1","0","0"
"402","27","3","Nâng kỹ năng 1 đệ tử","Nâng chiêu 1 của đệ tử lên 1 cấp","7098","-1","0","0"
"403","27","3","Nâng kỹ năng 2 đệ tử","Nâng chiêu 2 của đệ tử lên 1 cấp","7099","-1","0","0"
"404","27","3","Nâng kỹ năng 3 đệ tử","Nâng chiêu 3 của đệ tử lên 1 cấp","7100","-1","0","0"
"405","5","3","Cải trang","Cải trang thành Fide cấp 1","2026","-1","0","0"
"406","5","3","Cải trang","Cải trang thành Fide cấp 2","2057","-1","0","0"
"407","5","3","Cải trang","Cải trang thành Fide cấp 3","2088","-1","0","0"
"408","5","3","Cải trang","Cải trang thành Chi Chi, hết hạn vào 1/5/2016 (tự xóa)","3047","-1","0","0"
"409","5","3","Cải trang","Cải trang thành Bum ma, hết hạn vào 1/7/2016 (tự xóa)","3045","-1","0","0"
"410","5","3","Cải trang","Cải trang thành Lý Tiểu Nương, hết hạn vào 1/9/2016 (tự xóa)","3014","-1","0","0"
"411","5","3","Cải trang","Cải trang thành Póc, hết hạn vào 1/12/2016 (tự xóa)","2467","-1","0","0"
"412","5","0","Avatar","Dùng để thay đổi khuôn mặt","19","64","0","0"
"413","5","0","Avatar","Dùng để thay đổi khuôn mặt","266","30","0","0"
"414","5","0","Avatar","Dùng để thay đổi khuôn mặt","268","31","0","0"
"415","5","1","Avatar","Dùng để thay đổi khuôn mặt","121","9","0","0"
"416","5","1","Avatar","Dùng để thay đổi khuôn mặt","263","29","0","0"
"417","5","1","Avatar","Dùng để thay đổi khuôn mặt","271","32","0","0"
"418","5","2","Avatar","Dùng để thay đổi khuôn mặt","91","6","0","0"
"419","5","2","Avatar","Dùng để thay đổi khuôn mặt","259","27","0","0"
"420","5","2","Avatar","Dùng để thay đổi khuôn mặt","261","28","0","0"
"421","5","3","Cải trang","Cải trang thành Sơn Tinh","3099","-1","0","0"
"422","5","3","Cải trang","Cải trang thành Thủy Tinh","3069","-1","0","0"
"423","5","3","Cải trang","Cải trang thành Bujin","3390","-1","0","0"
"424","5","3","Cải trang","Cải trang thành Kogu","3245","-1","0","0"
"425","5","3","Cải trang","Cải trang thành Zangya","9837","-1","0","0"
"426","5","3","Cải trang","Cải trang thành Bido","3310","-1","0","0"
"427","5","3","Cải trang","Cải trang thành Bojack","3183","-1","0","0"
"428","5","3","Cải trang","Cải trang thành Super Bojack","3215","-1","0","0"
"429","5","3","Cải trang","Cải trang thành Số 4","1871","-1","0","0"
"430","5","3","Cải trang","Cải trang thành Số 3","2123","-1","0","0"
"431","5","3","Cải trang","Cải trang thành Số 2","2124","-1","0","0"
"432","5","3","Cải trang","Cải trang thành Số 1","1964","-1","0","0"
"433","5","3","Cải trang","Cải trang thành Tiểu Đội Trưởng Ginyu","1995","-1","0","0"
"434","7","3","Khiên năng lượng lv1","học kĩ năng khiên năng lượng","3784","-1","0","150000000"
"435","7","3","Khiên năng lượng lv2","nâng khiên năng lượng lên cấp 2","3784","-1","0","150000000"
"436","7","3","Khiên năng lượng lv3","nâng khiên năng lượng lên cấp 3","3784","-1","0","150000000"
"437","7","3","Khiên năng lượng lv4","nâng khiên năng lượng lên cấp 4","3784","-1","0","150000000"
"438","7","3","Khiên năng lượng lv5","nâng khiên năng lượng lên cấp 5","3784","-1","0","150000000"
"439","7","3","Khiên năng lượng lv6","nâng khiên năng lượng lên cấp 6","3784","-1","0","150000000"
"440","7","3","Khiên năng lượng lv7","nâng khiên năng lượng lên cấp 7","3784","-1","0","150000000"
"441","30","3","Sao pha lê","Ép vào đồ sao pha lê để tăng chỉ số","3887","-1","0","1"
"442","30","3","Sao pha lê","Ép vào đồ sao pha lê để tăng chỉ số","3888","-1","0","1"
"443","30","3","Sao pha lê","Ép vào đồ sao pha lê để tăng chỉ số","3889","-1","0","1"
"444","30","3","Sao pha lê","Ép vào đồ sao pha lê để tăng chỉ số","3890","-1","0","1"
"445","30","3","Sao pha lê","Ép vào đồ sao pha lê để tăng chỉ số","3891","-1","0","1"
"446","30","3","Sao pha lê","Ép vào đồ sao pha lê để tăng chỉ số","3892","-1","0","1"
"447","30","3","Sao pha lê","Ép vào đồ sao pha lê để tăng chỉ số","3893","-1","0","1"
"448","5","3","Cải trang","Cải trang thành Đracula","3496","-1","0","1500000"
"449","5","3","Cải trang","Cải trang thành Người Vô Hình","3745","-1","0","1500000"
"450","5","3","Cải trang","Cải trang thành Bông Băng","3469","-1","0","1500000"
"451","5","3","Cải trang","Cải trang thành Vua Quỷ Satan","3407","-1","0","1500000"
"452","5","3","Cải trang","Cải trang thành Thỏ Đầu Bạc","3438","-1","0","1500000"
"453","27","3","Chiến thuyền Tennis","Chiến thuyền phục hồi HP, KI","3894","-1","0","0"
"454","27","3","Bông tai Porata","Sử dụng để hợp thể với đệ tử","3896","-1","0","1500000"
"455","5","3","Cải trang","Cải trang thành Ở dơ, làm mất HP mọi người ở gần","3995","-1","0","1500000"
"456","27","3","Bình nước","YTB KhanhDTK","4029","-1","0","1500000"
"457","27","3","Thỏi vàng-25M","Bán TV để Nhận Vàng
YTB KhanhDTK","4028","-1","0","1500000"
"458","5","3","Cải trang","Cải trang thành Xinbatô, gây đánh hụt cho mọi người ở gần","3558","-1","0","1500000"
"459","27","3","Phiếu giảm giá","YTB KhanhDTK","4030","-1","0","0"
"460","27","3","Cục xương","YTB KhanhDTK","4032","-1","0","0"
"461","5","3","Cải trang","Cải trang thành Sói hẹc quyn, tăng tốc độ chạy, thưởng sức mạnh và tiềm năng khi đánh quái","3933","-1","0","1500000"
"462","27","3","Củ cà rốt","Vật phẩm sự kiện","4083","-1","0","1500000"
"463","5","3","Cải trang","Cải trang thành Thỏ đại ca, biến cà rốt người chạm vào","4044","-1","0","1500000"
"464","5","3","Cải trang","Cải trang thành Thỏ Bunma, tăng sức đánh cho mình và mọi người ở gần","4116","-1","0","1500000"
"465","31","3","Bánh Trung Thu 1 trứng","YTB KhanhDTK, tác dụng trong 60 phút","4042","-1","0","1500000"
"466","31","3","Bánh Trung Thu 2 trứng","YTB KhanhDTK, tác dụng trong 90 phút","4043","-1","0","1500000"
"467","11","3","Lồng đèn Ông Sao","YTB KhanhDTK","4124","32","0","1500000"
"468","11","3","Lồng đèn Cá chép","YTB KhanhDTK","4122","33","0","1500000"
"469","11","3","Lồng đèn Kéo Quân","YTB KhanhDTK","4121","34","0","1500000"
"470","11","3","Lồng đèn Ông trăng","YTB KhanhDTK","4123","35","0","1500000"
"471","11","3","Lồng đèn Hội An","YTB KhanhDTK","4120","36","0","1500000"
"472","29","3","Bánh Trung Thu Đặc Biệt","Vật phẩm sự kiện","4125","-1","0","1500000"
"473","31","3","Hộp bánh Trung Thu","YTB KhanhDTK, tác dụng trong 150 phút","4126","-1","0","1500000"
"474","7","1","Sách Biến Sôcôla lv1","học kĩ năng Biến Sôcôla","3780","-1","0","150000000"
"475","7","1","Sách Biến Sôcôla lv2","nâng biến Sôcôla lên cấp 2","3780","-1","0","150000000"
"476","7","1","Sách Biến Sôcôla lv3","nâng biến Sôcôla lên cấp 3","3780","-1","0","150000000"
"477","7","1","Sách Biến Sôcôla lv4","nâng biến Sôcôla lên cấp 4","3780","-1","0","150000000"
"478","7","1","Sách Biến Sôcôla lv5","nâng biến Sôcôla lên cấp 5","3780","-1","0","150000000"
"479","7","1","Sách Biến Sôcôla lv6","nâng biến Sôcôla lên cấp 6","3780","-1","0","150000000"
"480","7","1","Sách Biến Sôcôla lv7","nâng biến Sôcôla lên cấp 7","3780","-1","0","150000000"
"481","7","1","Sách Liên hoàn lv1","học liên hoàn chiêu","3778","-1","0","150000000"
"482","7","1","Sách Liên hoàn lv2","nâng liên hoàn chiêu lên cấp 2","3778","-1","0","150000000"
"483","7","1","Sách Liên hoàn lv3","nâng liên hoàn chiêu lên cấp 3","3778","-1","0","150000000"
"484","7","1","Sách Liên hoàn lv4","nâng liên hoàn chiêu lên cấp 4","3778","-1","0","150000000"
"485","7","1","Sách Liên hoàn lv5","nâng liên hoàn chiêu lên cấp 5","3778","-1","0","150000000"
"486","7","1","Sách Liên hoàn lv6","nâng liên hoàn chiêu lên cấp 6","3778","-1","0","150000000"
"487","7","1","Sách Liên hoàn lv7","nâng liên hoàn chiêu lên cấp 7","3778","-1","0","150000000"
"488","7","0","Sách Dịch Chuyển lv1","học phép Dịch Chuyển","3783","-1","0","150000000"
"489","7","0","Sách Dịch Chuyển lv2","nâng phép Dịch Chuyển lên cấp 2","3783","-1","0","150000000"
"490","7","0","Sách Dịch Chuyển lv3","nâng phép Dịch Chuyển lên cấp 3","3783","-1","0","150000000"
"491","7","0","Sách Dịch Chuyển lv4","nâng phép Dịch Chuyển lên cấp 4","3783","-1","0","150000000"
"492","7","0","Sách Dịch Chuyển lv5","nâng phép Dịch Chuyển lên cấp 5","3783","-1","0","150000000"
"493","7","0","Sách Dịch Chuyển lv6","nâng phép Dịch Chuyển lên cấp 6","3783","-1","0","150000000"
"494","7","0","Sách Dịch Chuyển lv7","nâng phép Dịch Chuyển lên cấp 7","3783","-1","0","150000000"
"495","7","0","Sách Thôi Miên lv1","học phép Thôi Miên","3782","-1","0","150000000"
"496","7","0","Sách Thôi Miên lv2","nâng phép thôi miên lên cấp 2","3782","-1","0","150000000"
"497","7","0","Sách Thôi Miên lv3","nâng phép thôi miên lên cấp 3","3782","-1","0","150000000"
"498","7","0","Sách Thôi Miên lv4","nâng phép thôi miên lên cấp 4","3782","-1","0","150000000"
"499","7","0","Sách Thôi Miên lv5","nâng phép thôi miên lên cấp 5","3782","-1","0","150000000"
"500","7","0","Sách Thôi Miên lv6","nâng phép thôi miên lên cấp 6","3782","-1","0","150000000"
"501","7","0","Sách Thôi Miên lv7","nâng phép thôi miên lên cấp 7","3782","-1","0","150000000"
"502","7","2","Sách Trói lv1","học phép trói","3779","-1","0","150000000"
"503","7","2","Sách Trói lv2","nâng phép trói lên cấp 2","3779","-1","0","150000000"
"504","7","2","Sách Trói lv3","nâng phép trói lên cấp 3","3779","-1","0","150000000"
"505","7","2","Sách Trói lv4","nâng phép trói lên cấp 4","3779","-1","0","150000000"
"506","7","2","Sách Trói lv5","nâng phép trói lên cấp 5","3779","-1","0","150000000"
"507","7","2","Sách Trói lv6","nâng phép trói lên cấp 6","3779","-1","0","150000000"
"508","7","2","Sách Trói lv7","nâng phép trói lên cấp 7","3779","-1","0","150000000"
"509","7","2","Sách Huýt Sáo lv1","học phép Huýt Sáo","3781","-1","0","150000000"
"510","7","2","Sách Huýt Sáo lv2","nâng phép Huýt Sáo lên cấp 2","3781","-1","0","150000000"
"511","7","2","Sách Huýt Sáo lv3","nâng phép Huýt Sáo lên cấp 3","3781","-1","0","150000000"
"512","7","2","Sách Huýt Sáo lv4","nâng phép Huýt Sáo lên cấp 4","3781","-1","0","150000000"
"513","7","2","Sách Huýt Sáo lv5","nâng phép Huýt Sáo lên cấp 5","3781","-1","0","150000000"
"514","7","2","Sách Huýt Sáo lv6","nâng phép Huýt Sáo lên cấp 6","3781","-1","0","150000000"
"515","7","2","Sách Huýt Sáo lv7","nâng phép Huýt Sáo lên cấp 7","3781","-1","0","150000000"
"516","27","3","Sôcôla",,"4133","-1","0","0"
"517","27","3","Mở rộng hành trang","Thêm 1 ô trong hành trang","4340","-1","0","0"
"518","27","3","Mở rộng rương đồ","Thêm 1 ô trong rương","265","-1","0","0"
"519","28","3","Cờ Kaiô",,"4386","-1","0","0"
"520","28","3","Cờ Mabư",,"4385","-1","0","0"
"521","27","3","Tự động luyện tập","Tự động luyện tập, ăn đậu, thu hoạch đậu, và sử dụng các kĩ năng hiển thị trên ô phím tắt theo thứ tự từ kĩ năng có cooldown cao nhất đến thấp nhất","4387","-1","0","0"
"522","13","3","Bùa Đệ Tử","Đệ tử bạn sẽ tự đánh quái không cần sư phụ, giảm 50% sát thương từ quái, tăng 100% sức mạnh khi đánh quái","1403","-1","0","0"
"523","6","3","Đậu thần cấp 9","Thức ăn phục hồi HP và KI","241","-1","0","1"
"524","5","3","Cải trang","Cải trang thành Android 19","2560","-1","0","15000000"
"525","5","3","Cải trang","Cải trang thành Android 20","9836","-1","0","15000000"
"526","5","3","Cải trang","Cải trang thành Xên Bọ Hung 1","2345","-1","0","15000000"
"527","5","3","Cải trang","Cải trang thành Xên Bọ Hung 2","2376","-1","0","15000000"
"528","5","3","Cải trang","Cải trang thành Xên Bọ Hung 3","2407","-1","0","15000000"
"529","32","3","Giáp tập luyện cấp 1","Khi mặc vào sẽ đánh yếu hơn bình thường 10%, khi cởi ra sẽ tăng sức đánh 10%","4429","-1","0","0"
"530","32","3","Giáp tập luyện cấp 2","Khi mặc vào sẽ đánh yếu hơn bình thường 20%, khi cởi ra sẽ tăng sức đánh 20%","4430","-1","0","1500000"
"531","32","3","Giáp tập luyện cấp 3","Khi mặc vào sẽ đánh yếu hơn bình thường 30%, khi cởi ra sẽ tăng sức đánh 30%","4431","-1","0","15000000"
"532","24","3","Quỷ Chim","Dùng để bay phục hồi HP, KI","4433","-1","0","15000000"
"533","27","3","Kẹo giáng sinh","YTB KhanhDTK, biến mất khi sự kiện kết thúc","4432","-1","0","0"
"534","32","3","Giáp tập luyện cấp 1","Khi mặc vào sẽ đánh yếu hơn bình thường 10%, khi cởi ra sẽ tăng sức đánh 10%","4429","-1","0","0"
"535","32","3","Giáp tập luyện cấp 2","Khi mặc vào sẽ đánh yếu hơn bình thường 20%, khi cởi ra sẽ tăng sức đánh 20%","4430","-1","0","1500000"
"536","32","3","Giáp tập luyện cấp 3","Khi mặc vào sẽ đánh yếu hơn bình thường 30%, khi cởi ra sẽ tăng sức đánh 30%","4431","-1","0","15000000"
"537","27","3","Chữ giải","YTB KhanhDTK","1403","-1","0","0"
"538","27","3","Chữ khai","YTB KhanhDTK","1404","-1","0","0"
"539","27","3","Chữ phong","YTB KhanhDTK","1407","-1","0","0"
"540","27","3","Chữ ấn","YTB KhanhDTK","1406","-1","0","0"
"541","27","3","Quả Hồng Đào","YTB KhanhDTK","4547","-1","0","0"
"542","27","3","Quả Hồng Đào Chín","YTB KhanhDTK","4547","-1","0","0"
"543","27","3","Vòng Kim Cô","YTB KhanhDTK","4546","-1","0","0"
"544","5","0","Cải trang","Cải trang thành Tôn Ngộ Không","4543","-1","0","0"
"545","5","1","Cải trang","Cải trang thành Tôn Ngộ Không","4464","-1","0","0"
"546","5","2","Cải trang","Cải trang thành Tôn Ngộ Không","4466","-1","0","0"
"547","5","3","Cải trang","Cải trang thành Tôn Ngộ Không Nhỏ","4468","-1","0","0"
"548","5","3","Cải trang","Cải trang thành Bát Giới Nhỏ","4498","-1","0","0"
"549","5","3","Cải trang","Cải trang thành Xên Bọ Hung con","2715","-1","0","15000000"
"550","5","3","Cải trang","Cải trang thành Android 13","2592","-1","0","15000000"
"551","5","3","Cải trang","Cải trang thành Android 14","2529","-1","0","15000000"
"552","5","3","Cải trang","Cải trang thành Android 15","2684","-1","0","15000000"
"553","27","3","Pháo bông","YTB KhanhDTK năm mới, biến mất vào ngày 18/2","4548","-1","0","1000"
"554","27","3","Siêu Pháo bông x100","YTB KhanhDTK năm mới, biến mất vào ngày 18/2","4548","-1","0","1000000"
"555","0","0","Áo Thần Linh","Giúp giảm sát thương","4647","472","0","0"
"556","1","0","Quần Thần Linh","Giúp bạn tăng HP","4648","473","0","0"
"557","0","1","Áo Thần Namếc","Giúp giảm sát thương","4657","476","0","0"
"558","1","1","Quần Thần namếc","Giúp bạn tăng HP","4658","477","0","0"
"559","0","2","Áo Thần Xayda","Giúp giảm sát thương","4652","474","0","0"
"560","1","2","Quần Thần Xayda","Giúp bạn tăng HP","4654","475","0","0"
"561","4","3","Nhẫn Thần Linh","Giúp tăng Chí Mạng","6314","-1","0","0"
"562","2","0","Găng Thần Linh","Giúp bạn tăng sức đánh","4650","-1","0","0"
"563","3","0","Giầy Thần Linh","Giúp bạn tăng MP","4649","-1","0","0"
"564","2","1","Găng Thần Namếc","Giúp bạn tăng sức đánh","4659","-1","0","0"
"565","3","1","Giầy Thần Namếc","Giúp bạn tăng MP","4660","-1","0","0"
"566","2","2","Găng Thần Xayda","Giúp bạn tăng sức đánh","4656","-1","0","0"
"567","3","2","Giầy Thần Xayda","Giúp bạn tăng MP","4655","-1","0","0"
"568","27","3","Quả Trứng","YTB KhanhDTK","2164","-1","0","0"
"569","27","3","Dưa Hấu","YTB KhanhDTK","4671","-1","0","0"
"570","27","3","Rương Gỗ","Giấu bên trong nhiều vật phẩm quý giá","265","-1","0","1000"
"571","27","3","Rương Bạc","Giấu bên trong nhiều vật phẩm quý giá","5006","-1","0","15000"
"572","27","3","Rương Vàng","Giấu bên trong nhiều vật phẩm quý giá","5007","-1","0","15000"
"573","27","3","Capsule Bạc","Giấu bên trong nhiều vật phẩm quý giá","5005","-1","0","15000"
"574","27","3","Capsule Vàng","Giấu bên trong nhiều vật phẩm quý giá","5004","-1","0","15000"
"575","5","3","Cải trang","Cải trang thành Bui Bui","4354","-1","0","15000000"
"576","5","3","Cải trang","Cải trang thành Yacôn","4135","-1","0","15000000"
"577","5","3","Cải trang","Cải trang thành Drabura","4165","-1","0","15000000"
"578","5","3","Cải trang","Cải trang thành Mabư mập","2957","-1","0","15000000"
"579","29","3","Đuôi khỉ","YTB KhanhDTK, biến mất vào ngày 5/10","5072","-1","0","15000"
"580","5","3","Cải trang","Cải trang thành Chi Chi","3047","-1","0","0"
"581","5","3","Cải trang","Cải trang thành Bum ma","3045","-1","0","0"
"582","5","3","Cải trang","Cải trang thành Lý Tiểu Nương","3014","-1","0","0"
"583","5","3","Cải trang Póc","Cải trang thành Android sát thủ","2467","-1","0","0"
"584","5","3","Cải trang","Cải trang thành Thỏ Bunma, tăng sức đánh cho mình và mọi người ở gần","4116","-1","0","1500000"
"585","27","3","Bí ngô","YTB KhanhDTK, biến mất vào ngày 20/11","5138","-1","0","0"
